ds,y,quarter,month,monthly_avg_sales,is_holiday_spike
2014-01-03,16.448000000000004,1,1,249.14655013123362,0
2014-01-04,288.05999999999995,1,1,249.14655013123362,0
2014-01-05,19.536,1,1,249.14655013123362,0
2014-01-06,4407.099999999999,1,1,249.14655013123362,0
2014-01-07,87.158,1,1,249.14655013123362,0
2014-01-09,40.544,1,1,249.14655013123362,0
2014-01-10,54.83,1,1,249.14655013123362,0
2014-01-11,9.940000000000001,1,1,249.14655013123362,0
2014-01-13,3553.795,1,1,249.14655013123362,0
2014-01-14,61.95999999999999,1,1,249.14655013123362,0
2014-01-15,149.95,1,1,249.14655013123362,0
2014-01-16,299.96399999999994,1,1,249.14655013123362,0
2014-01-18,64.86400000000002,1,1,249.14655013123362,0
2014-01-19,378.594,1,1,249.14655013123362,0
2014-01-20,2673.869999999999,1,1,249.14655013123362,0
2014-01-21,25.248000000000005,1,1,249.14655013123362,0
2014-01-23,46.02000000000001,1,1,249.14655013123362,0
2014-01-26,1097.2499999999998,1,1,249.14655013123362,0
2014-01-27,426.6700000000001,1,1,249.14655013123362,0
2014-01-28,3.9279999999999995,1,1,249.14655013123362,0
2014-01-30,240.50000000000009,1,1,249.14655013123362,0
2014-01-31,290.66599999999994,1,1,249.14655013123362,0
2014-02-01,468.90000000000003,1,2,199.170838,0
2014-02-02,211.64600000000007,1,2,199.170838,0
2014-02-03,97.11200000000002,1,2,199.170838,0
2014-02-04,134.384,1,2,199.170838,0
2014-02-06,330.51199999999983,1,2,199.170838,0
2014-02-07,180.32000000000005,1,2,199.170838,0
2014-02-08,14.560000000000004,1,2,199.170838,0
2014-02-11,2043.3999999999994,1,2,199.170838,0
2014-02-12,129.56799999999998,1,2,199.170838,0
2014-02-14,576.7260000000001,1,2,199.170838,0
2014-02-15,21.360000000000003,1,2,199.170838,0
2014-02-16,9.039999999999997,1,2,199.170838,0
2014-02-17,54.20800000000001,1,2,199.170838,0
2014-02-18,37.784000000000006,1,2,199.170838,0
2014-02-20,95.59,1,2,199.170838,0
2014-02-21,8.850000000000001,1,2,199.170838,0
2014-02-22,19.440000000000005,1,2,199.170838,0
2014-02-23,11.364000000000003,1,2,199.170838,0
2014-02-24,55.672000000000004,1,2,199.170838,0
2014-02-27,19.456000000000003,1,2,199.170838,0
2014-03-01,2203.1510000000003,1,3,294.548116091954,0
2014-03-02,202.38400000000001,1,3,294.548116091954,0
2014-03-03,1345.8919999999994,1,3,294.548116091954,0
2014-03-04,370.4519999999998,1,3,294.548116091954,0
2014-03-05,705.562,1,3,294.548116091954,0
2014-03-07,1561.062,1,3,294.548116091954,0
2014-03-10,741.9560000000001,1,3,294.548116091954,0
2014-03-11,918.3140000000001,1,3,294.548116091954,0
2014-03-14,2108.550000000001,1,3,294.548116091954,0
2014-03-15,370.782,1,3,294.548116091954,0
2014-03-16,471.9200000000002,1,3,294.548116091954,0
2014-03-17,3960.358,1,3,294.548116091954,0
2014-03-18,28106.716000000008,1,3,294.548116091954,0
2014-03-19,590.7619999999998,1,3,294.548116091954,0
